NO_APLICA,NO_APLICA,1,Matutino,0,0,No aplica,,,,NO APLICA,0,NO APLICA,0,NO APLICA,NO APLICA
11PBT0025B,ACADEMIA ESCOI,2,Vespertino,888,88,No aplica,0,0,0,"CALLE ALLENDE NÚMERO EXTERIOR: 24 , COLONIA SAN JOSE ITURBIDE CENTRO, CÓDIGO POSTAL 37980, ENTRE CALLE ZARAGOZA, Y CALLE BENITO JUÁREZ, POSTERIOR CALLE JAVIER MINA",1,SAN JOSE ITURBIDE,32,San José Iturbide,MARIA GLORIA ESQUEDA ARVIZU
11FIZ0186V,SUPERVISION DE ZONA ESCOLAR DE EDUCACION PRIMARIA NUM. 186,4,Discontinuo,186,21,No aplica,0,0,0,"CALLE JAVIER MINA NÚMERO EXTERIOR: 1 , COLONIA SAN JOSE ITURBIDE CENTRO, CÓDIGO POSTAL 37980, ENTRE CALLE BENITO JUAREZ GARCIA, Y CALLE MARIANO ABASOLO, POSTERIOR CALLE PLUTARCO ELIAS CALLES",1,SAN JOSE ITURBIDE,32,San José Iturbide,SILVIA PATIÑO VAZQUEZ
11DPR3086T,BENITO JUAREZ,1,Matutino,180,21,Incompleta,1,0,0,LA CANELA,13,LA CANELA,32,San José Iturbide,MARIA REMEDIOS ALVARADO SORIA
11DPR0262N,EJERCITO MEXICANO,1,Matutino,21,21,Completa,0,0,0,CERRITO DEL ARENAL,18,EL CERRITO DEL ARENAL,32,San José Iturbide,ABELARDO PALOMINO GONZALEZ
11DJN3665K,NIÑOS HEROES,1,Matutino,47,7,Completa,0,0,0,5 DE MAYO,20,CINCO DE MAYO,32,San José Iturbide,MA. CARMEN OLVERA FLORES
11DPR0268H,FRANCISCO I. MADERO,1,Matutino,180,21,Completa,0,0,0,"CALLE HIDALGO NÚMERO EXTERIOR: SN, RANCHO O RANCHERIA LA FRAGUA, CÓDIGO POSTAL 37990, ENTRE CALLE ALVARO OBREGON, Y AVENIDA QUERETARO - SAN LUIS POTOSI, POSTERIOR AVENIDA QUERETARO - SAN LUIS POTOSI",38,LA FRAGUA,32,San José Iturbide,JUAN CARLOS DOMINGUEZ SUASTE
11DPR0297C,RAUL CORDERO,1,Matutino,118,18,Completa,0,0,0,"CALLE POZO HONDO (EX-HACIENDA DE POZO HONDO) NÚMERO EXTERIOR: SN, HACIENDA POZO HONDO (EX-HACIENDA DE POZO HONDO), CÓDIGO POSTAL 37916, ENTRE CALLE NINGUNO, Y CALLE NINGUNO, POSTERIOR CALLE NINGUNO",148,POZO HONDO (EX-HACIENDA DE POZO HONDO),33,San Luis de la Paz,JUAN CARLOS BRIONES MATA
11EJN1045O,JARDIN DE NIÑOS,1,Matutino,301,1,No aplica,0,0,0,YERBABUENA,35,LA YERBABUENA,34,Santa Catarina,MA. DEL CARMEN TINAJERO
11EBS0023I,C.E.B.A.S.-SEEVYT PLANTEL TIERRA BLANCA,3,Nocturno,888,88,No aplica,0,0,0,CARRETERA SAN JOSE ITURBIDE-SANTA CATARINA LOS AGUACATES,1,TIERRA BLANCA,40,Tierra Blanca,PENDIENTE
11KJN1402X,PREESCOLAR COMUNITARIO,1,Matutino,3,88,No aplica,0,0,0,TORTUGAS,52,TORTUGAS,45,Xichú,ERIC RAMIREZ LOPEZ
11ETV0649N,TELESECUNDARIA NUM. 683,1,Matutino,527,6,Completa,0,0,0,"CALLE DERRAMADERO SEGUNDO INFIERNILLO NÚMERO EXTERIOR: SN,RANCHO O RANCHERIA DERRAMADERO SEGUNDO (INFIERNILLO), CÓDIGO POSTAL 37915, ENTRE CALLE NINGUNO, Y CALLE NINGUNO, POSTERIOR CALLE NINGUNO",394,DERRAMADERO SEGUNDO (INFIERNILLO),33,San Luis de la Paz,TOMASA VELAZQUEZ PADRON
11KJN1563J,PREESCOLAR COMUNITARIO,1,Matutino,3,88,Incompleta,1,0,0,"CALLE SALITRERA NÚMERO EXTERIOR: SN, RANCHO O RANCHERIA SALITRERA, CÓDIGO POSTAL 00000, ENTRE CALLE NINGUNO, Y CALLE NINGUNO, POSTERIOR CALLE NINGUNO",76,SALITRERA,43,Victoria,MARTHA GUADALUPE BREÑA BRIONES
11EJN1025A,JOSEFA ORTIZ,1,Matutino,301,1,No aplica,0,0,0,ROSA DE CASTILLA,46,ROSA DE CASTILLA,45,Xichú,CONSUELO SAAVEDRA GARCIA
11KJN1199B,PREESCOLAR COMUNITARIO,1,Matutino,3,88,No aplica,0,0,0,EL ROBLAR,64,EL ROBLAR,45,Xichú,MARIA MERCED VELAZQUEZ GONZALEZ
11EPR0811Z,JOSE MA. MORELOS Y PAVON,1,Matutino,511,2,No aplica,0,0,0,LA CEBADA,25,LA CEBADA,33,San Luis de la Paz,SANDRA ELVIRA JIMENEZ BRITO
11DPR3821B,NIÑOS HEROES,1,Matutino,158,27,Incompleta,1,1,0,ALLENDE S/N,32,EL TABLON,34,Santa Catarina,JORGE ARIEL RAMIREZ MARTINEZ
11KPR3987T,CURSO COMUNITARIO,1,Matutino,3,88,No aplica,0,0,0,"CALLEJON MESA PRIETA NÚMERO EXTERIOR: SN, RANCHO O RANCHERIA MESA PRIETA, CÓDIGO POSTAL 37923, ENTRE CALLE NINGUNO, Y CALLE NINGUNO, POSTERIOR CALLE NINGUNO",132,MESA PRIETA,43,Victoria,RAMIRO FLORES BOULLOSA
